id;name;address;contact_no;email;semester_id
1;Bedfordshire indigo radical;GB whiteboard;PCI frame Configuration;Chelsea97@gmail.com;1
2;next generation Monitored;Tasty Personal Loan Account cross-platform;Avon USB Avon;Myra97@gmail.com;2
3;Incredible Planner;invoice;South Dakota adapter;Kariane_Sauer@hotmail.com;3
4;emulation;Money Market Account Movies;SMS leading edge generate;Arnoldo67@hotmail.com;4
5;Beauty functionalities Nevada;Accounts Alabama olive;budgetary management transmit payment;Ariane82@yahoo.com;5
6;Lari Advanced quantifying;Total system matrix;Automotive Chief Rubber;Danial_Mraz@gmail.com;6
7;repurpose Streets;focus group Web;indexing;Carter12@gmail.com;7
8;installation deploy Interactions;Handmade Fiji Dollar;copying deposit;Tatum32@hotmail.com;8
9;transition Illinois Money Market Account;Human compress Virgin Islands, British;Buckinghamshire;Sabryna_Hessel57@yahoo.com;9
10;Granite Functionality navigating;Ferry Distributed Grass-roots;hack infomediaries Awesome;Brianne_Schmeler35@yahoo.com;10
